timestep,hh_1,hh_2,hh_3
461,711.15,200.17,1298.1
462,473.1,960.98,883.22
463,1598.3,1572.2,1731.1
464,1307,423.21,782.12
465,3029,280.13,595.99
466,1514.1,266.26,526.03
467,2884.1,286.29,992.07
468,2183.1,244.29,1889.1
469,2877.1,263.11,742.1
470,3951.3,570.16,1485.1
471,2654.3,1161.2,1025.2
472,1221.1,522.07,1487.2
473,1861.1,741.19,929.16
474,2621.2,817.09,905.18
475,3223.2,1165.1,1739.1
476,2417.2,900.15,1219.1
477,1838.1,531.1,1282.1
478,1871.1,479.9,1255
479,942.13,181.07,716.11
480,424.16,190.28,1095.2
481,205.07,193.05,899.1
482,229.13,191.08,1196.1
483,226.1,205.18,1446.1
484,178.08,190.17,536.13
485,155.17,204.09,970.08
486,290.18,842.14,865.08
487,1569.1,1518.2,1710.1
488,1323.9,434.23,605.27
489,1722.2,291.98,763.24
490,2772.1,279.2,880.17
491,3456.2,251.23,771.07
492,1472.3,255.14,1695.1
493,2872,245.09,708.13
494,3545.2,431.12,1196.1
495,2076.1,1177.1,1036.2
496,2606.1,581.13,1393.2
497,2084.1,670.12,1044.3
498,1220.2,2101.1,1013
499,1306.2,952.11,1720.2
500,1682.1,3618.2,1317.1
501,2937.1,1813.2,1203.2
502,2086.1,373.12,1129.3
503,1393.3,238.12,1031.1
504,621.13,209.04,1445.1
505,509.11,213.18,1140.2
506,429.01,206,1337.2
507,377.13,189.32,1499.1
508,394.96,217.14,808.01
509,608.22,226.04,1029.2
510,442.14,977.17,914.15
511,1618.1,1410.1,1588.2
512,2617.2,373.03,443.19
513,3743.2,303.25,629.06
514,3328.1,277.09,931.1
515,2738.1,248.23,1096
516,1838.2,252.13,1725.1
517,2300.1,240.05,818.14
518,1747.2,792.13,1602.1
519,3911.1,1470.1,1420.1
520,4149.2,846.05,2407.1
521,4789.5,1779.1,2027.1
522,3621.1,2400.2,1037.1
523,3023.1,2325.1,1274.1
524,3455.2,884.2,1222.1
525,2696.1,1458.1,1285.1
526,3192,492.06,1274.1
527,908.09,400.12,1414.1
528,1120.1,303.13,1768.1
529,231.02,206.19,1051.1
530,202.22,185.33,1386.1
531,230.13,201.16,1516.1
532,199.1,186.25,991.13
533,341.13,209.11,1122
534,389.16,215.09,666.12
535,1897.1,274.11,1807.1
536,1361.1,1888.1,981.06
537,4023.2,904.14,869.19
538,3645.4,1562.1,1863.2
539,3194.1,2685.2,1080.1
540,2897.1,1457.1,1890.3
541,2592.1,1518.3,1759.1
542,4387.1,1817.1,1047.1
543,4349.1,897.08,1374.1
544,3745.1,1902.1,1733.1
545,3035.2,1672,1146.1
546,3794.2,2431.2,1909.3
547,2577.2,1438.3,2407.1
548,2132.1,837.19,2583.1
549,2240.1,819.11,2287.1
550,2213.1,575.06,1397.3
551,1478,376.07,2420.1
552,1232.1,185.17,1221.2
553,915.1,200.99,992.13
554,719.12,187.16,853.07
555,692.05,195.15,712.17
556,541.1,204.01,1648.1
557,788.09,204.18,812.09
558,820.31,215.12,1173.2
559,2144.1,208.11,827.12
560,2033.1,1372.1,1527.2
561,1836.2,1623.1,857.1
562,2665.1,527.95,783.22
563,2877.1,484.2,1516.3
564,2665.2,1508.2,2102.1
565,3138.1,2419.1,1857.2
566,2513.1,2689.1,1238.1
567,3046.1,584.19,1404.1
568,2912.3,772.1,1553
569,3169.1,1117.2,1074.1
570,3573.1,779.12,1623.1
571,3296.1,702.03,1538
572,2993.3,677.09,1462.1
573,2730.2,692.1,1644.2
574,2043.1,740.2,1556.1
575,1170.2,295.13,1848.1
576,1112.1,228.15,563.15
577,600.09,177.23,413.15
578,603.11,195.3,556.07
579,521.09,199.3,526.15
580,712.1,190.07,1626.2
581,519.03,209.13,422.13
582,753.09,477.95,1265.1
583,2072.1,1283.1,704.05
584,1709.2,405.12,1402.1
585,1788.1,280.27,695.05
586,2734.1,276.23,666.23
587,2888,261.27,600.1
588,3724.1,276.23,747.05
589,1608.1,270.11,3699.2
590,1503.1,259.25,1282.1
591,1290.2,1220.2,758.25
592,1874.2,514.18,1800.2
593,2925.2,679.03,1096.1
594,3553.1,1740.2,1911.1
595,3181.1,1185.1,2465.1
596,2447.1,1055.2,1072.1
597,2540.1,1069,922.28
598,1952.1,586.13,636.3
599,1059.1,322.12,1811.1
600,719.23,199.18,1016.1
601,283.35,198.05,967.15
602,184.14,180.12,989.11
603,193.15,202.13,685.17
604,227.21,192.18,1696.1
605,321.13,198.14,701.07
606,286.13,697.05,1484.2
607,1685.2,1469.1,744.14
608,1400.1,352.21,1391.2
609,1353.1,268.02,1064.1
610,2275.1,273.13,804.17
611,2705.2,250.94,987.13
612,2706.1,290.19,1020.1
613,2088.1,276.21,1700.2
614,1484.2,272.03,941.14
615,1712.1,1050.1,900.12
616,1329.1,363.17,1523
617,3284.2,639.14,1202.2
618,2328,484.94,1972.1
619,1719.1,909.17,2021.1
620,2110.1,465.21,2118.2
621,1954.1,687.34,1599.1
622,1843,339.19,1341.1
623,1980.1,310.13,2252.1
624,806.07,197.12,1010.2
625,220.22,181.24,887.16
626,254.17,197.95,836.1
627,284.18,181.01,670.15
628,376.07,199.19,1643.2
629,309.09,207.23,1005.1
630,368.25,561.15,1349.1
631,1731.1,1336.1,607.11
632,1881,368.98,1175.2
633,2877.1,269.18,712.18
634,2462,270.07,696.26
635,1347.1,237.05,792.07
636,1308.1,271.06,621.24
637,1641.1,249.25,1548.1
638,2852,269.18,626.18
639,3912.1,1003.2,746.13
640,4154.4,273.01,1698.1
641,2929.1,478.2,1201.1
642,5408.4,1065,2066.1
643,3651.2,2163.2,1888.1
644,3292.1,1406.2,2356.1
645,3656.1,861.06,1543.2
646,3576.2,1872.1,1245.1
647,2154.1,558.12,2048.1
648,1858.1,539.19,992.19
649,1194.1,524.16,710.15
650,987.1,210.98,793.12
651,1389,203.24,598.07
652,995.13,203.23,1484.2
653,1486,189.18,714.19
654,989.15,800.19,1339
655,2618.1,1496.1,585.2
656,2909,464.06,1136.1
657,3439.2,573.11,857.11
658,3537.3,654.13,653.25
659,2717,595.14,668.09
660,2917,628.11,737.14
661,1748.3,393.04,1492.1
662,1946.1,897.09,625.17
663,2670.1,1558.1,683.16
664,3037.2,703.17,1440.1
665,2673.1,647.03,1164.2
666,2917.2,877.99,1793.1
667,2700.1,964.17,1840.3
668,3851,1305.1,2163.1
669,2789.1,743.15,1710.2
670,2144.1,404.2,1536.2
671,1226.2,319.04,2032
672,1010.1,202.03,628.17
673,650.09,189.18,521.05
674,184.14,203.16,652.12
675,538.04,185.07,808.29
